Interval=	0.01 s
ExcelDateTime=	3.9773403000945640e+004	21/11/2008 9:40:19.281703
TimeFormat=	StartOfBlock
ChannelTitle=	Channel 1	Channel 2	Channel 3
Range=	20.000 mV	50.000 mV	500.0 µV
0.0	-6.811	-43.150	-25.4
0.01	-6.808	-42.083	-46.8
0.02	-6.804	-40.888	-38.0
0.03	-6.801	-39.631	-61.8
0.04	-6.800	-38.383	-27.1
0.05	-6.803	-37.175	0.5
0.06	-6.806	-35.986	-26.9
0.07	-6.805	-34.716	150.7
0.08	-6.799	-33.280	244.6
0.09	-6.794	-31.627	281.2
0.1	-6.798	-29.859	164.1
0.11	-6.811	-28.534	-57.6
0.12	-6.833	-28.116	-22.0
0.13	-6.866	-28.361	-24.7
0.14	-6.901	-28.681	-31.0
0.15	-6.931	-28.647	-21.2
0.16	-6.953	-28.283	-15.4
0.17	-6.969	-27.953	-8.7
0.18	-6.982	-28.105	-14.2
0.19	-6.990	-28.977	-23.2
0.2	-6.996	-30.122	-0.9
0.21	-7.002	-30.173	-0.3
0.22	-7.013	-26.267	9.1
0.23	-7.029	-13.109	13.5
0.24	-7.047	12.263	26.2
0.25	-7.067	37.916	52.3
0.26	-7.088	49.511	70.8
0.27	-7.108	51.106	77.8
0.28	-7.129	51.136	126.0
0.29	-7.150	51.139	143.0
0.3	-7.173	51.139	149.0
0.31	-7.196	51.139	166.7
0.32	-7.221	51.139	164.3
0.33	-7.247	51.133	146.2
0.34	-7.274	50.992	102.4
0.35	-7.303	48.280	26.3
0.36	-7.329	37.889	0.0
0.37	-7.355	20.361	-21.6
0.38	-7.379	1.961	-38.7
0.39	-7.403	-14.152	-55.2
0.4	-7.429	-27.747	-65.8
0.41	-7.456	-38.792	-69.8
0.42	-7.483	-46.584	-67.7
0.43	-7.509	-50.280	-64.0
0.44	-7.536	-51.102	-54.6
0.45	-7.564	-51.139	-58.7
0.46	-7.593	-51.141	-57.6
0.47	-7.621	-51.141	-62.7
0.48	-7.648	-51.141	-50.8
0.49	-7.673	-51.141	-53.2
0.5	-7.701	-51.141	-49.5
0.51	-7.729	-51.139	-46.4
0.52	-7.759	-51.134	-57.2
0.53	-7.788	-50.831	-45.5
0.54	-7.818	-48.727	-51.5
0.55	-7.848	-43.447	-59.8
0.56	-7.878	-35.891	-38.9
0.57	-7.906	-27.614	-50.3
0.58	-7.934	-19.411	-59.8
0.59	-7.961	-11.922	-48.7
0.6	-7.986	-5.766	-45.8
0.61	-8.011	-1.505	-49.5
0.62	-8.036	0.594	-35.7
0.63	-8.060	0.594	-49.2
0.64	-8.084	-1.373	-29.3
0.65	-8.108	-5.105	-43.2
0.66	-8.133	-10.016	-51.3
0.67	-8.158	-15.377	-47.6
