Interval=	0.01 s
ExcelDateTime=	3.9773396772890243e+004	21/11/2008 9:31:21.177717
TimeFormat=	StartOfBlock
ChannelTitle=	Channel 1	Channel 2	Channel 3
Range=	20.000 mV	50.000 mV	500.0 µV
0.0	-8.391	-36.191	15.3
0.01	-8.404	-37.167	-24.3
0.02	-8.416	-37.998	-36.1
0.03	-8.427	-38.569	-49.5
0.04	-8.438	-38.884	-44.6
0.05	-8.449	-39.023	-53.1
0.06	-8.461	-39.083	-17.9
0.07	-8.473	-39.167	-45.8
0.08	-8.487	-39.241	-25.0
0.09	-8.503	-39.052	-16.4
0.1	-8.519	-38.395	-62.1
0.11	-8.529	-37.219	150.4
0.12	-8.533	-35.498	258.4
0.13	-8.539	-33.225	248.5
0.14	-8.550	-30.636	96.6
0.15	-8.562	-28.475	-103.4
0.16	-8.574	-27.434	-30.2
0.17	-8.586	-27.180	-38.2
0.18	-8.594	-26.831	-33.7
0.19	-8.596	-26.120	-22.7
0.2	-8.591	-25.281	-31.8
0.21	-8.584	-24.611	-22.2
0.22	-8.579	-24.516	-13.6
0.23	-8.576	-25.203	-10.6
0.24	-8.576	-26.523	-6.5
0.25	-8.577	-27.973	3.8
0.26	-8.581	-28.131	12.1
0.27	-8.587	-23.536	11.7
0.28	-8.593	-7.939	27.4
0.29	-8.599	19.272	51.7
0.3	-8.606	42.389	82.8
0.31	-8.612	50.445	101.4
0.32	-8.620	51.106	119.0
0.33	-8.628	51.139	144.0
0.34	-8.638	51.139	166.9
0.35	-8.648	51.139	151.7
0.36	-8.658	51.139	148.1
0.37	-8.666	51.139	121.6
0.38	-8.674	51.134	72.6
0.39	-8.681	51.056	39.7
0.4	-8.687	49.014	-2.0
0.41	-8.693	39.381	-33.8
0.42	-8.702	20.558	-40.1
0.43	-8.714	-1.316	-65.0
0.44	-8.726	-21.572	-59.0
0.45	-8.738	-38.220	-56.2
0.46	-8.749	-47.991	-61.0
0.47	-8.761	-50.892	-63.6
0.48	-8.773	-51.131	-62.2
0.49	-8.784	-51.141	-53.5
0.5	-8.793	-51.141	-57.5
0.51	-8.803	-51.141	-61.5
0.52	-8.815	-51.141	-47.6
0.53	-8.826	-51.141	-54.4
0.54	-8.836	-51.141	-53.9
0.55	-8.846	-51.141	-42.8
0.56	-8.856	-51.141	-41.7
0.57	-8.866	-51.133	-46.2
0.58	-8.876	-50.966	-40.8
0.59	-8.886	-48.378	-42.0
0.6	-8.898	-39.122	-38.3
0.61	-8.908	-23.473	-51.0
0.62	-8.918	-6.084	-44.7
0.63	-8.928	9.967	-49.8
0.64	-8.938	23.180	-43.1
0.65	-8.950	32.441	-46.7
0.66	-8.961	37.155	-59.7
0.67	-8.970	37.306	-30.7
0.68	-8.979	33.409	-29.2
0.69	-8.987	26.356	-51.9
0.7	-8.994	17.197	-41.9
0.71	-9.001	6.925	-51.1
0.72	-9.009	-3.622	-48.9
0.73	-9.016	-13.763	-29.1
0.74	-9.024	-22.986	-26.4
0.75	-9.033	-30.969	-31.6
0.76	-9.041	-37.605	-14.0
0.77	-9.047	-43.020	-1.5
0.78	-9.055	-47.273	-7.9
0.79	-9.062	-49.978	-22.6
0.8	-9.068	-51.000	-15.8
0.81	-9.072	-51.139	-38.3
0.82	-9.077	-51.141	-51.8
0.83	-9.082	-51.141	-46.7
0.84	-9.088	-51.141	-47.0
0.85	-9.094	-51.139	-43.8
0.86	-9.101	-51.086	-42.7
0.87	-9.110	-50.577	-52.5
0.88	-9.123	-49.114	-4.9
0.89	-9.134	-46.867	-62.5
0.9	-9.143	-44.348	52.1
0.91	-9.145	-41.689	221.8
0.92	-9.148	-38.852	216.0
0.93	-9.155	-36.038	111.2
0.94	-9.166	-33.608	-83.2
0.95	-9.177	-31.825	-62.2
0.96	-9.185	-30.528	-23.3
0.97	-9.189	-29.247	-38.9
0.98	-9.185	-27.838	-23.6
0.99	-9.172	-26.463	-33.9
1.0	-9.152	-25.214	-24.6
1.01	-9.133	-24.298	-15.8
1.02	-9.116	-24.186	-11.1
1.03	-9.104	-25.163	-6.9
1.04	-9.094	-26.898	3.8
1.05	-9.086	-28.386	6.3
1.06	-9.078	-27.986	21.6
1.07	-9.068	-22.577	28.6
1.08	-9.056	-6.141	49.3
1.09	-9.044	21.255	65.4
1.1	-9.031	43.430	89.3
1.11	-9.016	50.622	117.8
1.12	-9.001	51.113	133.8
1.13	-8.984	51.139	147.2
1.14	-8.968	51.139	160.0
1.15	-8.953	51.139	146.3
1.16	-8.938	51.139	123.8
1.17	-8.921	51.139	80.4
1.18	-8.903	51.125	38.8
1.19	-8.884	50.527	1.6
1.2	-8.866	44.883	-25.1
1.21	-8.849	28.933	-49.3
1.22	-8.834	6.141	-50.8
1.23	-8.819	-16.505	-59.4
1.24	-8.800	-35.448	-62.6
1.25	-8.778	-47.014	-64.0
1.26	-8.758	-50.759	-66.8
1.27	-8.738	-51.131	-68.1
1.28	-8.719	-51.141	-60.8
1.29	-8.701	-51.141	-55.2
1.3	-8.684	-51.141	-54.6
1.31	-8.670	-51.141	-59.8
1.32	-8.656	-51.141	-64.0
1.33	-8.642	-51.141	-60.9
1.34	-8.628	-51.141	-53.7
1.35	-8.614	-51.141	-57.3
1.36	-8.598	-51.138	-48.1
1.37	-8.582	-51.123	-39.3
1.38	-8.566	-50.302	-43.0
1.39	-8.548	-44.866	-54.2
1.4	-8.530	-31.959	-39.8
1.41	-8.512	-14.713	-51.3
1.42	-8.496	2.584	-55.4
1.43	-8.479	17.736	-52.7
1.44	-8.463	29.197	-58.8
1.45	-8.447	36.084	-50.5
1.46	-8.433	38.297	-48.7
1.47	-8.419	36.277	-52.8
1.48	-8.404	30.736	-42.0
1.49	-8.389	22.561	-50.8
1.5	-8.376	12.702	-45.7
1.51	-8.362	2.036	-50.8
1.52	-8.349	-8.642	-53.7
1.53	-8.338	-18.631	-36.8
1.54	-8.328	-27.472	-30.3
1.55	-8.319	-35.025	-27.8
1.56	-8.310	-41.247	-6.2
1.57	-8.301	-46.130	-16.2
1.58	-8.291	-49.408	-15.4
1.59	-8.283	-50.845	-9.9
1.6	-8.273	-51.130	-24.7
1.61	-8.262	-51.141	-49.1
1.62	-8.251	-51.141	-59.9
