Interval=	0.01 s
ExcelDateTime=	3.9773411406663443e+004	21/11/2008 9:52:25.535722
TimeFormat=	StartOfBlock
ChannelTitle=	Channel 1	Channel 2	Channel 3
Range=	20.000 mV	50.000 mV	500.0 µV
0.0	-11.109	-22.469	53.3
0.01	-11.103	-22.173	-18.6
0.02	-11.089	-22.014	17.8
0.03	-11.074	-22.361	2.3
0.04	-11.061	-23.053	19.9
0.05	-11.047	-23.808	24.8
0.06	-11.034	-24.688	49.8
0.07	-11.020	-25.319	27.0
0.08	-11.006	-24.241	35.8
0.09	-10.989	-18.814	59.0
0.1	-10.973	-6.730	79.8
0.11	-10.953	11.355	99.8
0.12	-10.931	31.066	130.8
0.13	-10.911	45.206	136.7
0.14	-10.891	50.481	171.1
0.15	-10.874	51.128	159.9
0.16	-10.856	51.138	173.6
0.17	-10.835	51.138	139.5
0.18	-10.809	51.125	106.7
0.19	-10.778	50.534	62.6
0.2	-10.744	46.827	24.0
0.21	-10.708	38.350	-4.2
0.22	-10.676	27.533	-29.6
0.23	-10.654	16.773	-49.2
0.24	-10.640	6.444	-36.6
0.25	-10.624	-3.086	-50.5
0.26	-10.601	-11.486	-54.9
0.27	-10.576	-18.752	-63.7
0.28	-10.553	-24.855	-46.8
0.29	-10.527	-29.897	-58.7
0.3	-10.497	-34.170	-42.2
0.31	-10.466	-37.770	-41.8
0.32	-10.432	-40.439	-44.6
0.33	-10.397	-42.267	-49.1
0.34	-10.359	-43.364	-31.7
0.35	-10.320	-43.166	-43.6
0.36	-10.278	-41.616	-39.2
0.37	-10.234	-39.055	-34.0
0.38	-10.189	-35.336	-22.4
0.39	-10.141	-30.239	-37.4
0.4	-10.093	-23.600	-35.8
0.41	-10.045	-15.892	-37.6
0.42	-9.999	-8.280	-34.5
0.43	-9.957	-1.277	-45.1
0.44	-9.920	4.681	-32.3
0.45	-9.887	8.834	-42.0
0.46	-9.857	11.273	-30.7
0.47	-9.831	12.530	-43.5
0.48	-9.806	12.486	-28.6
0.49	-9.780	10.811	-45.9
0.5	-9.752	7.858	-33.5
0.51	-9.724	4.072	-35.5
0.52	-9.694	-0.439	-37.4
0.53	-9.666	-5.252	-24.7
0.54	-9.638	-10.108	-13.2
0.55	-9.611	-14.605	-14.5
0.56	-9.584	-16.802	-0.9
0.57	-9.557	-17.616	-12.4
0.58	-9.531	-20.233	-3.9
0.59	-9.506	-23.180	-13.1
0.6	-9.482	-24.444	-25.8
0.61	-9.457	-24.902	-46.2
0.62	-9.435	-25.138	-28.9
0.63	-9.412	-25.303	-28.8
0.64	-9.388	-25.452	-33.9
0.65	-9.361	-25.280	-27.4
0.66	-9.337	-24.556	-20.7
0.67	-9.314	-23.645	6.0
0.68	-9.293	-23.264	-39.6
0.69	-9.269	-23.495	-13.6
0.7	-9.241	-23.783	190.8
0.71	-9.207	-23.661	174.4
0.72	-9.174	-23.086	161.0
0.73	-9.148	-22.164	-18.0
0.74	-9.127	-21.005	-89.0
0.75	-9.111	-20.184	-14.0
0.76	-9.096	-20.131	-35.5
0.77	-9.077	-20.300	-40.3
0.78	-9.052	-20.291	-24.7
0.79	-9.020	-20.119	-33.0
0.8	-8.984	-19.367	-20.7
0.81	-8.949	-18.242	-28.0
0.82	-8.915	-17.716	-15.2
0.83	-8.883	-18.080	-5.9
0.84	-8.853	-18.980	-10.9
0.85	-8.824	-19.494	-7.6
0.86	-8.799	-17.445	14.0
0.87	-8.776	-9.559	12.5
0.88	-8.751	6.280	40.8
0.89	-8.724	27.103	46.9
0.9	-8.698	43.663	66.4
0.91	-8.673	50.259	82.9
0.92	-8.649	51.127	126.0
0.93	-8.628	51.138	133.4
0.94	-8.607	51.139	144.8
0.95	-8.586	51.139	134.2
0.96	-8.565	51.133	100.8
0.97	-8.543	50.869	42.4
0.98	-8.519	48.395	7.0
0.99	-8.497	41.417	-27.6
1.0	-8.476	31.183	-39.0
1.01	-8.456	20.255	-67.2
1.02	-8.436	9.769	-74.2
1.03	-8.414	-0.069	-89.9
1.04	-8.393	-9.606	-75.5
1.05	-8.373	-18.317	-77.5
1.06	-8.352	-24.939	-71.4
1.07	-8.334	-29.013	-85.9
1.08	-8.319	-31.406	-85.6
1.09	-8.304	-33.352	-82.3
1.1	-8.291	-35.234	-66.3
1.11	-8.277	-37.205	-67.9
1.12	-8.265	-39.497	-59.4
1.13	-8.256	-41.527	-70.1
1.14	-8.248	-42.403	-58.8
1.15	-8.240	-41.520	-65.7
1.16	-8.231	-38.322	-48.0
1.17	-8.222	-32.819	-57.0
1.18	-8.212	-26.139	-55.8
1.19	-8.201	-19.725	-58.0
1.2	-8.191	-14.367	-50.7
1.21	-8.181	-10.117	-56.0
1.22	-8.169	-6.567	-47.7
1.23	-8.158	-3.320	-49.2
1.24	-8.146	-0.419	-54.9
1.25	-8.134	1.681	-71.5
1.26	-8.123	2.522	-55.9
1.27	-8.110	1.950	-57.1
1.28	-8.098	0.077	-54.1
1.29	-8.087	-2.681	-62.7
1.3	-8.075	-5.498	-54.0
1.31	-8.063	-7.766	-53.9
1.32	-8.050	-9.848	-54.0
1.33	-8.038	-12.294	-68.3
1.34	-8.028	-15.019	-50.6
1.35	-8.020	-17.931	-50.1
1.36	-8.013	-20.894	-44.4
1.37	-8.006	-23.233	-60.9
1.38	-7.998	-24.684	-51.8
1.39	-7.992	-26.072	-51.5
1.4	-7.986	-27.750	-37.7
1.41	-7.979	-29.169	-47.4
