Interval=	0.01 s
ExcelDateTime=	3.9773405852844022e+004	21/11/2008 9:44:25.685723
TimeFormat=	StartOfBlock
ChannelTitle=	Channel 1	Channel 2	Channel 3
Range=	20.000 mV	50.000 mV	500.0 µV
0.0	-9.624	-19.028	5.4
0.01	-9.590	-17.658	64.5
0.02	-9.559	-12.538	52.0
0.03	-9.530	-2.123	114.3
0.04	-9.502	12.723	93.0
0.05	-9.477	28.720	140.9
0.06	-9.453	41.825	158.6
0.07	-9.431	49.000	174.1
0.08	-9.409	50.984	167.3
0.09	-9.388	51.131	168.1
0.1	-9.367	51.091	139.6
0.11	-9.346	50.138	103.4
0.12	-9.322	46.183	45.5
0.13	-9.296	38.577	19.0
0.14	-9.273	29.014	-20.8
0.15	-9.251	19.000	-29.0
0.16	-9.233	9.253	-52.6
0.17	-9.216	0.113	-61.5
0.18	-9.194	-8.342	-61.8
0.19	-9.169	-15.880	-40.7
0.2	-9.143	-22.048	-59.2
0.21	-9.118	-26.630	-52.6
0.22	-9.092	-29.908	-56.0
0.23	-9.065	-32.372	-41.7
0.24	-9.038	-34.388	-55.9
0.25	-9.011	-36.094	-37.2
0.26	-8.986	-37.337	-58.1
0.27	-8.962	-37.844	-45.6
0.28	-8.940	-37.334	-42.9
0.29	-8.919	-35.559	-35.7
0.3	-8.899	-32.475	-27.0
0.31	-8.878	-28.373	-25.4
0.32	-8.858	-23.745	-28.3
0.33	-8.837	-19.025	-12.7
0.34	-8.815	-14.480	-35.8
0.35	-8.793	-10.352	-31.3
0.36	-8.769	-6.850	-32.4
0.37	-8.746	-4.027	-29.0
0.38	-8.724	-1.945	-48.9
0.39	-8.703	-0.728	-34.6
0.4	-8.683	-0.328	-45.1
0.41	-8.662	-0.614	-44.8
0.42	-8.643	-1.500	-44.7
0.43	-8.622	-2.923	-35.3
0.44	-8.601	-4.819	-48.6
0.45	-8.581	-7.042	-26.6
0.46	-8.561	-9.333	-43.0
0.47	-8.543	-11.428	-31.5
0.48	-8.527	-13.181	-52.8
0.49	-8.511	-14.644	-40.4
0.5	-8.496	-16.050	-37.8
0.51	-8.481	-17.578	-40.9
0.52	-8.468	-19.163	-36.4
0.53	-8.456	-20.552	-27.3
0.54	-8.444	-21.592	-26.4
0.55	-8.433	-22.461	-4.7
0.56	-8.422	-23.336	-18.6
0.57	-8.412	-24.105	-2.0
0.58	-8.401	-24.603	-13.4
0.59	-8.389	-24.808	-18.8
0.6	-8.376	-24.769	-39.9
0.61	-8.362	-24.558	-47.5
0.62	-8.347	-24.192	-50.4
0.63	-8.332	-23.695	-54.3
0.64	-8.317	-23.175	-46.0
0.65	-8.303	-22.667	-21.1
0.66	-8.291	-22.094	-48.7
0.67	-8.281	-21.430	2.1
0.68	-8.272	-20.719	-65.7
0.69	-8.259	-19.964	87.1
0.7	-8.242	-19.130	197.7
0.71	-8.224	-18.252	173.0
0.72	-8.209	-17.511	116.7
0.73	-8.197	-17.127	-68.9
0.74	-8.186	-17.244	-48.7
