Interval=	0.01 s
ExcelDateTime=	3.9773433878445823e+004	21/11/2008 10:24:47.097719
TimeFormat=	StartOfBlock
ChannelTitle=	Channel 1	Channel 2	Channel 3
Range=	20.000 mV	50.000 mV	500.0 µV
0.0	-9.309	-44.456	-26.7
0.01	-9.315	-42.219	-4.0
0.02	-9.321	-40.086	-36.7
0.03	-9.326	-38.108	-63.1
0.04	-9.330	-36.306	-63.6
0.05	-9.332	-34.716	-76.2
0.06	-9.333	-33.356	-61.3
0.07	-9.333	-32.216	-24.3
0.08	-9.332	-31.247	-68.5
0.09	-9.329	-30.388	-33.5
0.1	-9.326	-29.559	-32.9
0.11	-9.323	-28.681	-54.0
0.12	-9.319	-27.680	202.7
0.13	-9.313	-26.559	278.1
0.14	-9.308	-25.406	199.6
0.15	-9.306	-24.364	8.4
0.16	-9.305	-23.547	-114.8
0.17	-9.303	-23.048	-34.3
0.18	-9.299	-22.930	-52.9
0.19	-9.292	-23.222	-45.4
0.2	-9.277	-23.941	-28.1
0.21	-9.253	-25.094	-17.0
0.22	-9.221	-26.689	-32.7
0.23	-9.184	-28.650	-34.3
0.24	-9.152	-30.728	-8.3
0.25	-9.126	-32.616	-8.2
0.26	-9.103	-34.108	-11.5
0.27	-9.083	-35.084	4.1
0.28	-9.064	-35.202	26.0
0.29	-9.044	-33.170	17.3
0.3	-9.024	-25.478	26.9
0.31	-9.004	-6.509	70.5
0.32	-8.985	22.005	86.8
0.33	-8.966	43.842	112.1
0.34	-8.949	50.672	137.7
0.35	-8.933	51.114	169.6
0.36	-8.917	51.139	187.2
0.37	-8.902	51.139	215.3
0.38	-8.888	51.139	194.4
0.39	-8.873	51.139	142.1
0.4	-8.858	51.139	97.1
0.41	-8.844	51.136	37.4
0.42	-8.830	51.120	-15.2
0.43	-8.817	50.084	-58.5
0.44	-8.806	43.047	-64.1
0.45	-8.797	26.659	-79.7
0.46	-8.788	6.111	-89.1
0.47	-8.779	-12.839	-85.2
0.48	-8.769	-28.841	-108.6
0.49	-8.759	-41.239	-95.5
0.5	-8.748	-48.534	-97.4
0.51	-8.737	-50.894	-96.2
0.52	-8.726	-51.136	-73.5
0.53	-8.716	-51.141	-78.1
0.54	-8.706	-51.141	-87.8
0.55	-8.697	-51.141	-80.5
0.56	-8.689	-51.141	-73.0
0.57	-8.681	-51.141	-75.4
0.58	-8.674	-51.139	-73.7
0.59	-8.667	-51.131	-58.5
0.6	-8.659	-50.566	-66.1
0.61	-8.653	-46.114	-82.0
0.62	-8.649	-34.467	-65.1
0.63	-8.646	-18.242	-48.8
0.64	-8.640	-2.075	-67.5
0.65	-8.634	11.991	-82.1
0.66	-8.629	23.000	-63.6
0.67	-8.623	30.270	-69.3
0.68	-8.616	33.383	-82.3
0.69	-8.611	32.366	-63.4
0.7	-8.607	27.780	-66.5
0.71	-8.603	20.559	-62.3
0.72	-8.599	11.703	-61.4
0.73	-8.596	2.059	-68.5
