Interval=	0.01 s
ExcelDateTime=	3.9777474062194437e+004	25/11/2008 11:22:38.973599
TimeFormat=	StartOfBlock
ChannelTitle=	Channel 1	Channel 2	Channel 3
Range=	20.000 mV	50.000 mV	1000.0 µV
0.0	-10.066	50.973	92.5
0.01	-10.089	51.130	156.6
0.02	-10.114	51.139	83.1
0.03	-10.140	51.139	170.5
0.04	-10.164	51.139	233.4
0.05	-10.187	51.139	77.0
0.06	-10.207	51.139	74.1
0.07	-10.227	51.127	143.5
0.08	-10.249	50.897	7.6
0.09	-10.272	46.928	-15.0
0.1	-10.292	33.131	-24.8
0.11	-10.309	12.589	-110.5
0.12	-10.326	-5.044	-71.6
0.13	-10.344	-16.681	-63.4
0.14	-10.361	-23.930	-127.2
0.15	-10.376	-27.927	-115.8
0.16	-10.389	-29.658	-110.7
0.17	-10.399	-31.384	-158.2
0.18	-10.405	-35.606	-91.5
0.19	-10.407	-42.536	-113.1
0.2	-10.404	-48.564	-70.5
0.21	-10.398	-50.886	-55.4
0.22	-10.389	-51.133	-132.0
0.23	-10.373	-51.141	-100.1
0.24	-10.350	-51.141	-24.3
0.25	-10.319	-51.136	-97.2
0.26	-10.282	-51.047	-112.7
0.27	-10.238	-49.222	-69.0
0.28	-10.189	-41.969	-63.8
0.29	-10.138	-29.256	-42.1
0.3	-10.087	-15.673	-61.6
0.31	-10.036	-4.517	-36.0
0.32	-9.984	3.719	-48.6
0.33	-9.932	9.489	-143.6
0.34	-9.880	12.109	-67.4
0.35	-9.829	10.430	-14.8
0.36	-9.779	4.772	-69.2
0.37	-9.729	-3.433	-78.0
0.38	-9.678	-12.516	-16.2
0.39	-9.626	-21.136	-23.2
0.4	-9.575	-28.883	-90.4
0.41	-9.527	-35.700	50.3
0.42	-9.482	-41.561	71.6
0.43	-9.439	-46.494	2.3
0.44	-9.393	-49.769	-38.8
0.45	-9.345	-50.983	-136.6
0.46	-9.297	-51.138	-18.5
0.47	-9.251	-51.111	-34.1
0.48	-9.208	-50.848	-125.1
0.49	-9.169	-50.225	-38.5
0.5	-9.133	-49.577	20.3
0.51	-9.098	-49.047	76.4
0.52	-9.064	-48.383	350.5
0.53	-9.029	-47.475	695.8
0.54	-8.997	-46.266	423.6
0.55	-8.966	-44.802	-109.6
0.56	-8.933	-43.420	-78.2
0.57	-8.902	-42.250	-12.8
0.58	-8.874	-41.252	-53.7
0.59	-8.848	-40.573	-63.5
0.6	-8.818	-40.098	-77.2
0.61	-8.789	-39.213	-39.6
0.62	-8.764	-37.373	-36.7
0.63	-8.745	-34.678	-78.6
0.64	-8.725	-31.436	23.2
0.65	-8.702	-26.980	12.7
0.66	-8.677	-18.850	-51.4
0.67	-8.651	-2.417	54.0
0.68	-8.624	22.645	42.2
0.69	-8.596	43.305	59.3
0.7	-8.569	50.505	71.4
0.71	-8.543	51.109	80.4
0.72	-8.516	51.139	257.3
0.73	-8.489	51.139	92.1
0.74	-8.462	51.139	53.3
0.75	-8.436	51.139	206.4
0.76	-8.409	51.139	111.8
0.77	-8.383	51.134	153.6
0.78	-8.356	51.106	10.2
0.79	-8.329	49.611	-59.3
0.8	-8.298	40.459	14.0
0.81	-8.264	21.313	-127.0
0.82	-8.227	0.619	-109.6
0.83	-8.189	-14.875	-107.1
0.84	-8.153	-24.770	-109.6
0.85	-8.119	-30.220	-113.9
0.86	-8.085	-33.534	-125.1
0.87	-8.051	-37.159	-64.4
0.88	-8.018	-42.363	-98.5
0.89	-7.987	-47.731	-181.5
0.9	-7.954	-50.577	-126.6
0.91	-7.918	-51.122	-106.8
0.92	-7.879	-51.139	-83.7
0.93	-7.838	-51.141	-34.9
0.94	-7.796	-51.141	-130.5
0.95	-7.753	-51.141	-117.6
0.96	-7.709	-51.141	-50.0
0.97	-7.664	-51.138	-137.8
0.98	-7.619	-51.122	-82.1
0.99	-7.574	-50.355	-97.2
1.0	-7.527	-45.684	-129.6
1.01	-7.478	-35.731	-107.3
1.02	-7.428	-24.845	-96.1
1.03	-7.378	-17.167	-96.8
1.04	-7.328	-13.517	-42.7
1.05	-7.278	-13.866	-46.7
1.06	-7.228	-17.964	-183.0
1.07	-7.179	-24.875	-102.2
1.08	-7.131	-33.113	-13.0
1.09	-7.084	-41.248	-161.3
1.1	-7.037	-47.517	-44.1
1.11	-6.990	-50.502	-14.1
1.12	-6.944	-51.116	-93.0
1.13	-6.899	-51.139	50.3
1.14	-6.856	-51.141	1.3
1.15	-6.817	-51.141	29.9
1.16	-6.781	-51.141	24.3
1.17	-6.746	-51.141	-160.3
1.18	-6.711	-51.141	-120.3
1.19	-6.678	-51.141	-1.1
1.2	-6.646	-51.141	-25.7
1.21	-6.616	-51.141	-147.9
1.22	-6.587	-51.141	-24.5
1.23	-6.560	-51.141	37.3
1.24	-6.534	-51.139	102.8
1.25	-6.510	-51.089	416.2
1.26	-6.486	-50.555	679.6
1.27	-6.465	-49.048	433.9
1.28	-6.446	-47.123	-24.3
1.29	-6.429	-45.400	-131.3
1.3	-6.413	-43.592	-46.2
1.31	-6.398	-41.744	-41.8
1.32	-6.382	-40.503	-100.3
1.33	-6.365	-40.125	-69.5
1.34	-6.348	-40.038	-69.2
1.35	-6.332	-39.523	-62.3
1.36	-6.314	-38.083	-21.6
1.37	-6.298	-34.897	-94.3
1.38	-6.282	-28.234	-56.3
1.39	-6.269	-13.964	66.3
1.4	-6.255	11.277	32.4
1.41	-6.244	37.144	25.3
1.42	-6.232	49.327	45.1
1.43	-6.221	51.106	85.2
1.44	-6.211	51.134	62.9
1.45	-6.201	51.139	114.1
1.46	-6.194	51.139	189.8
1.47	-6.189	51.139	168.6
1.48	-6.184	51.139	156.8
1.49	-6.181	51.139	88.8
1.5	-6.178	51.127	148.0
1.51	-6.176	50.902	74.3
1.52	-6.176	47.138	-95.6
1.53	-6.176	34.186	-82.3
1.54	-6.176	14.867	-36.3
1.55	-6.176	-2.198	-141.6
1.56	-6.178	-14.148	-73.7
1.57	-6.179	-22.202	-117.9
1.58	-6.181	-27.748	-179.9
1.59	-6.181	-31.942	-84.0
1.6	-6.180	-36.102	-129.0
1.61	-6.180	-41.548	-104.7
1.62	-6.179	-47.319	-110.3
1.63	-6.179	-50.503	-129.5
1.64	-6.178	-51.120	-141.9
1.65	-6.179	-51.139	-85.2
1.66	-6.181	-51.141	-18.0
1.67	-6.185	-51.141	-187.7
1.68	-6.191	-51.141	-65.1
1.69	-6.196	-51.141	-28.1
1.7	-6.201	-51.141	-119.5
1.71	-6.204	-51.133	-63.2
1.72	-6.206	-50.777	-109.8
1.73	-6.208	-47.981	-172.7
1.74	-6.209	-41.058	-51.3
1.75	-6.211	-32.641	-53.5
1.76	-6.214	-26.147	-76.6
1.77	-6.218	-22.570	-56.9
1.78	-6.221	-22.202	-92.9
1.79	-6.226	-24.730	-80.6
1.8	-6.232	-29.258	-121.9
1.81	-6.237	-35.000	-50.4
1.82	-6.242	-41.228	-51.7
1.83	-6.248	-46.783	-98.3
1.84	-6.253	-50.095	-9.5
1.85	-6.258	-51.064	-94.2
1.86	-6.263	-51.138	-82.7
1.87	-6.268	-51.141	-49.6
1.88	-6.273	-51.141	-47.2
1.89	-6.279	-51.141	-33.6
1.9	-6.285	-51.141	-38.9
1.91	-6.292	-51.141	97.8
1.92	-6.300	-51.141	42.6
1.93	-6.308	-51.141	-35.9
1.94	-6.316	-51.141	-101.5
1.95	-6.322	-51.141	-115.5
1.96	-6.326	-51.139	4.4
1.97	-6.328	-51.117	-40.9
1.98	-6.331	-50.853	-81.9
1.99	-6.336	-50.102	-54.1
2.0	-6.342	-49.111	28.9
2.01	-6.348	-47.867	138.3
2.02	-6.352	-45.780	516.0
2.03	-6.354	-43.128	816.6
2.04	-6.357	-40.917	362.2
2.05	-6.364	-39.469	-122.8
2.06	-6.376	-38.592	-54.8
2.07	-6.391	-38.425	-21.7
2.08	-6.406	-39.267	-42.4
2.09	-6.414	-40.930	-140.2
2.1	-6.412	-42.575	-83.4
2.11	-6.407	-42.866	-29.0
2.12	-6.402	-41.047	-135.2
2.13	-6.398	-37.711	-32.5
2.14	-6.399	-32.750	-16.5
2.15	-6.407	-23.183	-15.2
2.16	-6.410	-3.684	9.4
2.17	-6.407	24.070	20.2
2.18	-6.407	44.638	13.7
2.19	-6.407	50.772	33.2
2.2	-6.407	51.120	186.8
2.21	-6.408	51.139	103.9
2.22	-6.411	51.139	102.7
2.23	-6.416	51.139	155.9
2.24	-6.423	51.139	127.3
2.25	-6.432	51.139	169.8
2.26	-6.441	51.139	96.9
2.27	-6.452	51.122	134.3
2.28	-6.463	50.722	102.0
2.29	-6.475	46.280	-82.5
2.3	-6.487	33.244	-86.7
2.31	-6.499	15.634	-112.3
2.32	-6.514	0.789	-111.3
2.33	-6.537	-9.934	-64.6
2.34	-6.572	-18.041	-111.8
2.35	-6.617	-24.841	-149.1
2.36	-6.668	-30.975	-93.7
2.37	-6.721	-37.480	-88.8
2.38	-6.774	-44.658	-127.6
2.39	-6.827	-49.628	-116.4
2.4	-6.879	-51.059	-90.6
2.41	-6.929	-51.136	-235.9
2.42	-6.977	-51.141	-126.8
2.43	-7.024	-51.141	5.6
2.44	-7.071	-51.141	-88.7
2.45	-7.117	-51.141	-90.7
2.46	-7.164	-51.141	-105.5
2.47	-7.211	-51.139	-97.8
2.48	-7.259	-51.134	-113.8
2.49	-7.308	-50.744	-73.8
2.5	-7.357	-48.122	-58.0
2.51	-7.408	-42.388	-92.0
2.52	-7.459	-36.141	-54.3
2.53	-7.510	-32.041	-96.5
2.54	-7.563	-30.945	-112.5
2.55	-7.618	-32.850	-49.9
2.56	-7.675	-36.950	-69.8
2.57	-7.733	-42.334	-87.5
2.58	-7.790	-47.536	-34.0
2.59	-7.846	-50.447	-74.5
2.6	-7.899	-51.111	-98.3
2.61	-7.952	-51.139	-50.4
2.62	-8.004	-51.141	-62.5
2.63	-8.056	-51.141	-37.9
2.64	-8.108	-51.141	-35.1
2.65	-8.158	-51.141	-68.8
2.66	-8.206	-51.141	-11.1
2.67	-8.253	-51.141	-13.2
2.68	-8.299	-51.141	1.3
2.69	-8.342	-51.141	31.6
2.7	-8.385	-51.141	42.7
2.71	-8.428	-51.141	-29.0
2.72	-8.473	-51.141	-45.9
2.73	-8.517	-51.141	-87.3
2.74	-8.558	-51.141	-159.0
2.75	-8.598	-51.141	-18.9
2.76	-8.636	-51.139	-14.5
2.77	-8.676	-51.039	-25.3
2.78	-8.715	-50.316	96.8
2.79	-8.752	-48.566	161.0
2.8	-8.787	-45.955	435.5
2.81	-8.821	-42.314	769.2
2.82	-8.854	-37.966	350.0
2.83	-8.883	-33.964	-99.3
2.84	-8.909	-30.714	-11.2
2.85	-8.939	-28.531	-50.3
2.86	-8.969	-27.677	-119.6
2.87	-8.999	-27.278	-70.3
2.88	-9.028	-26.156	-33.3
2.89	-9.060	-24.567	-42.3
2.9	-9.096	-23.108	-15.7
2.91	-9.136	-21.223	-31.4
2.92	-9.175	-18.397	52.0
2.93	-9.212	-12.847	-28.6
2.94	-9.249	1.250	-58.4
2.95	-9.284	24.992	117.7
2.96	-9.316	44.431	77.8
2.97	-9.344	50.711	84.8
2.98	-9.372	51.116	147.1
2.99	-9.398	51.139	115.5
3.0	-9.424	51.139	122.8
3.01	-9.451	51.139	176.2
3.02	-9.479	51.139	240.5
3.03	-9.507	51.139	110.3
3.04	-9.536	51.139	117.4
3.05	-9.566	51.131	116.8
3.06	-9.598	50.983	68.3
3.07	-9.629	48.258	42.5
3.08	-9.659	38.486	-100.7
3.09	-9.687	23.586	-93.8
3.1	-9.713	10.575	-114.8
3.11	-9.739	1.978	-107.3
3.12	-9.764	-3.295	-64.0
3.13	-9.788	-6.550	-133.3
3.14	-9.809	-9.663	-80.1
3.15	-9.831	-15.077	-117.4
3.16	-9.853	-24.647	-132.8
3.17	-9.874	-37.406	-73.6
3.18	-9.893	-47.334	-89.8
3.19	-9.911	-50.808	-91.8
3.2	-9.927	-51.128	-48.5
3.21	-9.941	-51.141	-100.1
3.22	-9.953	-51.141	-131.8
3.23	-9.961	-51.134	-3.5
3.24	-9.966	-51.030	-21.8
3.25	-9.966	-48.878	-55.7
3.26	-9.963	-40.527	-86.4
3.27	-9.957	-26.853	-94.3
3.28	-9.949	-13.711	-54.7
3.29	-9.939	-3.594	-111.6
3.3	-9.926	3.803	-49.4
3.31	-9.910	8.061	44.8
3.32	-9.891	8.031	-65.4
3.33	-9.869	3.400	-159.3
3.34	-9.842	-4.600	-30.2
3.35	-9.812	-14.070	-43.1
3.36	-9.777	-22.931	-87.1
3.37	-9.740	-30.131	-14.3
3.38	-9.702	-36.386	67.7
3.39	-9.665	-42.230	-12.4
3.4	-9.628	-47.072	13.8
3.41	-9.591	-50.019	23.6
3.42	-9.551	-51.023	-51.4
3.43	-9.511	-51.138	-129.9
3.44	-9.473	-51.141	-81.4
3.45	-9.436	-51.141	36.8
3.46	-9.404	-51.141	-75.5
3.47	-9.376	-51.139	-52.7
3.48	-9.351	-51.047	-42.1
3.49	-9.327	-50.394	36.0
3.5	-9.298	-48.597	169.2
3.51	-9.263	-46.077	478.3
3.52	-9.227	-44.019	696.3
3.53	-9.192	-42.850	186.9
3.54	-9.160	-42.366	-123.5
3.55	-9.131	-42.713	-62.2
3.56	-9.109	-43.925	-24.2
3.57	-9.094	-45.373	-79.4
3.58	-9.078	-46.245	-110.9
3.59	-9.056	-46.189	-22.9
3.6	-9.033	-45.383	7.9
3.61	-9.013	-44.216	-64.3
3.62	-8.998	-42.858	-77.0
3.63	-8.982	-40.883	-6.7
3.64	-8.967	-36.381	-5.1
3.65	-8.953	-24.663	17.6
3.66	-8.938	-0.217	5.9
3.67	-8.922	29.739	-40.3
3.68	-8.902	47.303	158.8
3.69	-8.879	50.998	182.4
3.7	-8.853	51.128	97.6
3.71	-8.829	51.139	112.7
3.72	-8.804	51.139	150.5
3.73	-8.781	51.139	180.5
3.74	-8.757	51.139	99.1
3.75	-8.732	51.138	94.9
3.76	-8.707	51.122	128.1
3.77	-8.681	50.363	19.4
3.78	-8.652	44.234	-63.2
3.79	-8.620	29.092	-60.7
3.8	-8.583	10.881	-95.2
3.81	-8.541	-3.666	-84.8
3.82	-8.498	-14.233	-100.3
3.83	-8.455	-21.592	-134.7
3.84	-8.414	-26.000	-92.5
3.85	-8.372	-29.089	-107.0
3.86	-8.331	-33.731	-99.0
3.87	-8.293	-41.123	-109.9
3.88	-8.255	-47.953	-169.7
3.89	-8.216	-50.794	-99.5
3.9	-8.178	-51.133	-72.9
3.91	-8.141	-51.141	-94.7
3.92	-8.103	-51.141	-51.8
3.93	-8.065	-51.141	-49.8
3.94	-8.026	-51.141	-88.0
3.95	-7.987	-51.141	-75.1
3.96	-7.947	-51.131	-67.9
3.97	-7.908	-50.745	-150.4
3.98	-7.870	-47.375	-35.3
3.99	-7.831	-38.636	-23.8
4.0	-7.790	-27.647	-109.3
4.01	-7.749	-18.597	-102.8
4.02	-7.708	-12.928	-88.1
4.03	-7.668	-11.970	-4.3
4.04	-7.628	-16.348	-57.3
4.05	-7.589	-24.992	-145.0
4.06	-7.548	-35.606	-95.4
4.07	-7.505	-44.830	-72.6
4.08	-7.461	-49.792	-55.6
4.09	-7.418	-51.059	-53.5
4.1	-7.374	-51.138	-44.9
4.11	-7.333	-51.141	-63.2
4.12	-7.294	-51.141	-114.2
4.13	-7.258	-51.141	-42.3
4.14	-7.223	-51.141	-65.6
4.15	-7.191	-51.141	-88.0
4.16	-7.161	-51.141	62.9
4.17	-7.133	-51.141	71.3
4.18	-7.107	-51.141	-67.4
4.19	-7.082	-51.141	-70.5
4.2	-7.058	-51.141	-40.7
4.21	-7.034	-51.141	-159.9
4.22	-7.010	-51.141	-22.9
4.23	-6.989	-51.141	-28.5
4.24	-6.969	-51.141	-86.8
4.25	-6.950	-51.141	26.6
4.26	-6.932	-51.141	318.9
4.27	-6.913	-51.141	716.6
4.28	-6.896	-51.141	488.4
4.29	-6.882	-51.141	29.1
4.3	-6.869	-51.141	-6.4
4.31	-6.857	-51.141	-54.8
4.32	-6.848	-51.141	-129.6
4.33	-6.839	-51.141	-80.8
4.34	-6.827	-51.141	-93.1
4.35	-6.815	-51.141	-90.5
4.36	-6.803	-51.139	-21.2
4.37	-6.791	-51.123	-85.2
4.38	-6.778	-50.445	-41.0
4.39	-6.764	-45.453	24.0
4.4	-6.749	-28.666	-44.2
4.41	-6.738	3.459	-35.9
4.42	-6.729	35.294	55.6
4.43	-6.719	49.275	-10.3
4.44	-6.710	51.097	81.5
4.45	-6.701	51.136	126.3
4.46	-6.694	51.139	83.1
4.47	-6.689	51.139	177.3
4.48	-6.683	51.139	149.1
4.49	-6.677	51.139	145.1
4.5	-6.672	51.139	168.9
4.51	-6.668	51.139	57.0
4.52	-6.666	51.127	35.7
4.53	-6.666	50.613	-5.9
4.54	-6.667	46.230	-56.0
4.55	-6.667	35.138	-50.6
4.56	-6.667	21.889	-139.8
4.57	-6.667	11.645	-127.3
4.58	-6.668	4.192	-90.2
4.59	-6.670	-1.756	-108.0
4.6	-6.673	-7.342	-114.4
