Interval=	0.01 s
ExcelDateTime=	3.9777400152565933e+004	25/11/2008 9:36:13.181697
TimeFormat=	StartOfBlock
ChannelTitle=	Channel 1	Channel 2	Channel 3
Range=	20.000 mV	50.000 mV	1000.0 µV
0.0	-8.604	-31.970	-5.8
0.01	-8.605	-29.991	-18.8
0.02	-8.607	-26.455	-28.6
0.03	-8.610	-18.470	-27.1
0.04	-8.611	-0.559	-11.1
0.05	-8.610	25.716	2.3
0.06	-8.608	45.123	9.3
0.07	-8.605	50.811	28.0
0.08	-8.599	51.122	72.1
0.09	-8.588	51.139	101.7
0.1	-8.575	51.139	108.8
0.11	-8.563	51.139	126.8
0.12	-8.555	51.122	130.1
0.13	-8.550	50.347	109.6
0.14	-8.549	43.442	93.8
0.15	-8.553	24.722	57.2
0.16	-8.560	-0.447	13.6
0.17	-8.568	-22.817	-13.4
0.18	-8.576	-39.023	-53.3
0.19	-8.584	-47.980	-75.6
0.2	-8.594	-50.825	-78.3
0.21	-8.606	-51.136	-100.8
0.22	-8.615	-51.141	-108.9
0.23	-8.624	-51.141	-92.9
0.24	-8.630	-51.141	-93.7
0.25	-8.634	-51.141	-94.9
0.26	-8.638	-51.141	-80.3
0.27	-8.644	-51.141	-72.3
0.28	-8.650	-51.139	-80.9
0.29	-8.654	-51.098	-94.5
0.3	-8.658	-50.244	-78.4
0.31	-8.662	-46.678	-50.3
0.32	-8.664	-39.869	-48.3
0.33	-8.668	-31.330	-69.8
0.34	-8.671	-22.306	-86.3
0.35	-8.672	-13.584	-75.0
0.36	-8.671	-5.950	-61.5
0.37	-8.669	0.080	-54.0
0.38	-8.665	3.889	-50.0
0.39	-8.661	4.483	-52.4
0.4	-8.656	1.639	-33.8
0.41	-8.650	-3.269	-18.2
0.42	-8.645	-8.806	-19.8
0.43	-8.639	-14.658	-11.2
0.44	-8.634	-20.764	-15.0
0.45	-8.629	-26.580	-44.1
0.46	-8.627	-31.375	-62.4
0.47	-8.624	-34.714	-62.5
0.48	-8.623	-36.719	-70.9
0.49	-8.624	-38.008	-75.3
0.5	-8.628	-39.103	-55.6
0.51	-8.633	-40.116	-9.1
0.52	-8.637	-40.992	157.1
0.53	-8.641	-41.616	425.2
0.54	-8.644	-41.772	499.3
0.55	-8.652	-41.278	250.8
0.56	-8.662	-40.208	-3.0
0.57	-8.666	-39.136	-67.1
0.58	-8.666	-38.717	-74.4
0.59	-8.667	-38.853	-82.4
0.6	-8.668	-39.006	-83.4
0.61	-8.669	-38.803	-60.8
0.62	-8.669	-37.886	-20.5
0.63	-8.668	-35.886	-22.7
0.64	-8.668	-32.145	-34.7
0.65	-8.670	-23.895	-19.8
0.66	-8.674	-5.538	3.5
0.67	-8.678	22.058	21.7
0.68	-8.683	43.614	24.4
0.69	-8.690	50.603	39.3
0.7	-8.697	51.113	72.7
0.71	-8.707	51.139	88.6
0.72	-8.719	51.139	94.4
0.73	-8.731	51.136	103.5
0.74	-8.741	51.123	106.4
0.75	-8.751	50.092	91.5
0.76	-8.760	42.567	75.2
0.77	-8.769	24.459	58.5
0.78	-8.776	1.927	19.2
0.79	-8.783	-17.523	-31.2
0.8	-8.789	-32.291	-79.6
0.81	-8.799	-42.575	-106.2
0.82	-8.809	-48.503	-85.2
0.83	-8.817	-50.752	-69.3
0.84	-8.824	-51.128	-93.8
0.85	-8.828	-51.141	-88.9
0.86	-8.829	-51.141	-59.9
0.87	-8.830	-51.141	-60.8
0.88	-8.836	-51.141	-78.5
0.89	-8.843	-51.141	-98.9
0.9	-8.851	-51.139	-88.2
0.91	-8.860	-51.111	-55.3
0.92	-8.869	-50.367	-46.6
0.93	-8.877	-46.745	-62.9
0.94	-8.880	-39.266	-67.6
0.95	-8.880	-29.802	-52.5
0.96	-8.879	-20.127	-59.6
0.97	-8.879	-10.995	-68.7
0.98	-8.878	-3.452	-63.7
0.99	-8.876	1.447	-56.3
1.0	-8.873	3.463	-34.4
1.01	-8.870	3.102	-21.3
1.02	-8.865	0.953	-19.7
1.03	-8.860	-2.598	5.6
1.04	-8.854	-7.080	11.1
1.05	-8.849	-11.958	-35.1
1.06	-8.843	-16.866	-71.8
1.07	-8.836	-21.559	-70.8
1.08	-8.828	-25.916	-53.1
1.09	-8.819	-29.669	-56.3
1.1	-8.812	-32.458	-69.2
1.11	-8.803	-34.292	-40.4
1.12	-8.792	-35.545	36.8
1.13	-8.781	-36.553	210.4
1.14	-8.770	-37.289	427.7
1.15	-8.763	-37.391	381.7
1.16	-8.760	-36.797	114.7
1.17	-8.761	-35.972	-18.7
1.18	-8.759	-35.369	-32.4
1.19	-8.751	-35.216	-48.0
1.2	-8.742	-35.481	-47.7
1.21	-8.735	-35.834	-51.8
1.22	-8.729	-35.752	-61.3
1.23	-8.723	-34.633	-55.4
1.24	-8.720	-31.933	-32.9
1.25	-8.721	-26.072	-12.0
1.26	-8.719	-12.328	-4.7
1.27	-8.711	12.772	2.9
1.28	-8.699	38.070	19.8
1.29	-8.679	49.530	45.4
1.3	-8.649	51.106	61.7
1.31	-8.608	51.136	57.3
1.32	-8.560	51.139	60.3
1.33	-8.506	51.139	89.8
1.34	-8.447	51.128	101.6
1.35	-8.389	50.911	86.3
1.36	-8.333	46.995	82.5
