Interval=	0.01 s
ExcelDateTime=	3.9777419717507386e+004	25/11/2008 10:04:23.592638
TimeFormat=	StartOfBlock
ChannelTitle=	Channel 1	Channel 2	Channel 3
Range=	20.000 mV	50.000 mV	1000.0 µV
0.0	-8.453	-26.445	-4.1
0.01	-8.446	-26.009	-26.3
0.02	-8.439	-24.956	-47.8
0.03	-8.433	-23.294	-42.0
0.04	-8.427	-20.966	-34.9
0.05	-8.424	-16.423	-31.1
0.06	-8.424	-5.794	2.2
0.07	-8.425	14.097	38.6
0.08	-8.426	36.381	32.4
0.09	-8.426	48.614	21.5
0.1	-8.424	51.052	60.5
0.11	-8.422	51.131	119.4
0.12	-8.419	51.139	149.1
0.13	-8.416	51.139	167.4
0.14	-8.413	51.139	191.6
0.15	-8.411	51.125	195.7
0.16	-8.410	50.473	156.7
0.17	-8.410	44.730	83.9
0.18	-8.410	29.286	24.7
0.19	-8.411	8.783	-24.7
0.2	-8.412	-9.227	-78.5
0.21	-8.413	-22.530	-121.8
0.22	-8.416	-31.008	-122.5
0.23	-8.418	-35.295	-107.3
0.24	-8.419	-36.908	-133.5
0.25	-8.421	-37.238	-148.3
0.26	-8.422	-37.356	-159.3
0.27	-8.422	-38.263	-173.3
0.28	-8.422	-40.923	-147.3
0.29	-8.421	-45.406	-120.0
0.3	-8.421	-49.389	-130.2
0.31	-8.420	-50.953	-140.8
0.32	-8.419	-51.092	-115.0
0.33	-8.419	-50.298	-99.8
0.34	-8.419	-47.127	-115.2
0.35	-8.418	-41.159	-137.4
0.36	-8.416	-33.570	-146.9
0.37	-8.414	-25.456	-119.9
0.38	-8.412	-17.594	-101.6
0.39	-8.411	-10.509	-116.2
0.4	-8.408	-4.861	-106.7
0.41	-8.404	-1.361	-90.7
0.42	-8.399	-0.277	-92.8
0.43	-8.395	-1.639	-91.2
0.44	-8.392	-4.742	-97.4
0.45	-8.389	-8.775	-103.8
0.46	-8.389	-13.389	-100.1
0.47	-8.389	-18.206	-94.8
0.48	-8.389	-22.678	-100.7
0.49	-8.391	-26.609	-106.4
0.5	-8.392	-30.347	-92.4
0.51	-8.393	-33.528	-72.7
0.52	-8.394	-35.752	-74.8
0.53	-8.395	-36.848	-79.7
0.54	-8.396	-37.197	-69.2
0.55	-8.398	-37.775	-81.2
0.56	-8.400	-38.303	-68.6
0.57	-8.402	-38.263	-33.6
0.58	-8.403	-37.967	-10.3
0.59	-8.404	-37.470	23.3
0.6	-8.402	-36.717	10.3
0.61	-8.401	-35.792	-43.2
0.62	-8.399	-34.533	-79.8
0.63	-8.399	-33.083	-94.0
0.64	-8.400	-31.773	-104.7
0.65	-8.399	-30.522	-105.9
0.66	-8.397	-29.203	-58.1
0.67	-8.392	-27.763	39.5
0.68	-8.386	-26.281	241.2
0.69	-8.385	-24.950	542.7
0.7	-8.386	-23.805	568.6
0.71	-8.386	-22.895	261.7
0.72	-8.384	-22.391	24.8
0.73	-8.383	-22.394	-68.3
0.74	-8.381	-22.933	-93.4
0.75	-8.379	-23.836	-90.3
0.76	-8.377	-24.663	-91.0
0.77	-8.375	-25.175	-76.9
0.78	-8.373	-25.169	-62.7
0.79	-8.371	-23.988	-24.5
0.8	-8.371	-21.186	1.0
0.81	-8.373	-15.253	-5.3
0.82	-8.374	-1.886	-10.1
0.83	-8.373	20.428	-25.8
0.84	-8.372	41.170	13.3
0.85	-8.369	49.978	83.8
0.86	-8.366	51.114	104.0
0.87	-8.363	51.138	126.8
0.88	-8.360	51.139	157.4
0.89	-8.357	51.139	178.0
0.9	-8.355	51.134	182.2
0.91	-8.354	51.109	170.0
0.92	-8.353	49.808	175.0
0.93	-8.353	41.634	158.5
0.94	-8.353	23.834	100.0
0.95	-8.353	3.581	12.0
0.96	-8.353	-12.522	-83.1
0.97	-8.354	-23.905	-108.9
0.98	-8.358	-31.242	-97.7
0.99	-8.363	-35.084	-134.5
1.0	-8.366	-36.255	-172.1
1.01	-8.369	-36.039	-151.2
1.02	-8.376	-36.045	-112.5
1.03	-8.387	-37.655	-102.3
1.04	-8.399	-41.297	-147.5
1.05	-8.412	-46.075	-181.8
1.06	-8.426	-49.705	-144.1
1.07	-8.441	-50.998	-104.9
1.08	-8.455	-51.047	-103.5
1.09	-8.469	-50.044	-114.0
1.1	-8.481	-46.770	-120.9
1.11	-8.494	-41.295	-103.8
1.12	-8.506	-34.716	-85.3
1.13	-8.518	-27.802	-104.0
1.14	-8.529	-21.150	-115.6
1.15	-8.539	-15.295	-98.1
1.16	-8.549	-10.805	-102.0
1.17	-8.556	-8.066	-111.9
1.18	-8.563	-7.106	-91.2
1.19	-8.569	-7.881	-77.5
1.2	-8.574	-10.231	-77.4
1.21	-8.579	-13.742	-82.2
