Interval=	0.01 s
ExcelDateTime=	3.9777417584463677e+004	25/11/2008 10:01:19.297662
TimeFormat=	StartOfBlock
ChannelTitle=	Channel 1	Channel 2	Channel 3
Range=	20.000 mV	50.000 mV	1000.0 µV
0.0	-7.990	-10.784	-15.5
0.01	-7.984	-13.342	-81.3
0.02	-7.979	-16.822	-118.9
0.03	-7.973	-21.369	-122.6
0.04	-7.968	-26.600	-125.2
0.05	-7.964	-31.203	-111.5
0.06	-7.960	-34.142	-124.4
0.07	-7.957	-35.067	-136.0
0.08	-7.954	-34.114	-128.9
0.09	-7.953	-31.627	-126.9
0.1	-7.953	-28.017	-106.9
0.11	-7.953	-23.886	-81.2
0.12	-7.954	-19.473	-96.8
0.13	-7.956	-15.664	-109.0
0.14	-7.958	-13.417	-87.3
0.15	-7.964	-12.273	-90.1
0.16	-7.977	-11.836	-116.4
0.17	-7.999	-12.153	-132.6
0.18	-8.031	-13.114	-126.6
0.19	-8.068	-14.755	-95.7
0.2	-8.106	-17.434	-69.8
0.21	-8.144	-20.614	-80.0
0.22	-8.181	-21.903	-99.4
0.23	-8.215	-21.856	-92.2
0.24	-8.246	-23.273	-89.2
0.25	-8.274	-25.614	-97.9
0.26	-8.299	-27.903	-94.5
0.27	-8.321	-30.134	-109.8
0.28	-8.341	-31.786	-106.9
0.29	-8.358	-32.948	-58.7
0.3	-8.374	-33.802	-38.7
0.31	-8.390	-33.783	-70.6
0.32	-8.408	-33.122	-84.5
0.33	-8.428	-32.403	-55.9
0.34	-8.449	-31.539	-38.8
0.35	-8.469	-30.738	-24.5
0.36	-8.488	-29.927	-15.3
0.37	-8.508	-29.125	-4.2
0.38	-8.527	-28.689	-4.3
0.39	-8.547	-27.502	-30.3
0.4	-8.566	-25.225	-38.7
0.41	-8.584	-23.311	-53.3
0.42	-8.603	-22.334	-57.0
0.43	-8.622	-21.634	-55.1
0.44	-8.643	-20.644	-70.8
0.45	-8.663	-19.411	-25.7
0.46	-8.678	-18.373	116.1
0.47	-8.694	-18.083	380.6
0.48	-8.711	-18.228	597.4
0.49	-8.725	-18.353	437.1
0.5	-8.736	-18.597	97.2
0.51	-8.748	-18.686	-45.4
0.52	-8.758	-18.897	-60.9
0.53	-8.769	-20.020	-63.1
0.54	-8.779	-21.322	-47.1
0.55	-8.784	-21.645	-26.7
0.56	-8.787	-21.503	-28.6
0.57	-8.791	-21.942	-49.0
0.58	-8.794	-22.245	-42.1
0.59	-8.801	-19.997	-23.3
0.6	-8.809	-12.280	6.7
0.61	-8.816	2.591	42.6
0.62	-8.823	23.105	40.0
0.63	-8.828	41.384	56.3
0.64	-8.832	49.755	99.1
0.65	-8.836	51.105	113.2
0.66	-8.837	51.134	127.3
0.67	-8.839	51.139	148.2
0.68	-8.841	51.133	162.2
0.69	-8.846	50.486	163.4
0.7	-8.851	43.055	147.1
0.71	-8.856	24.455	109.1
0.72	-8.860	10.370	36.5
0.73	-8.864	6.909	-28.8
0.74	-8.865	2.277	-51.7
0.75	-8.866	-3.069	-72.6
0.76	-8.866	-6.147	-94.8
0.77	-8.868	-7.244	-91.1
0.78	-8.866	-6.248	-73.1
0.79	-8.861	-4.581	-55.8
0.8	-8.851	-4.219	-67.1
